area,plotted_time,plotted_date,lower_newexposed,upper_newexposed,median_newexposed,cases,lower_newexposed_1,upper_newexposed_1,median_newexposed_1,lower_newexposed_2,upper_newexposed_2,median_newexposed_2,lower_hosp_adm,upper_hosp_adm,median_hosp_adm,hosp_adm,lower_seroprev,upper_seroprev,median_seroprev,serop,lower_c,upper_c,median_c,lower_R,upper_R,median_R,lower_R_1,upper_R_1,median_R_1,lower_R_2,upper_R_2,median_R_2,lower_freq_1,upper_freq_1,median_freq_1,lower_freq_2,upper_freq_2,median_freq_2,freq_alpha
NI,1,2020-03-05,0,0,0,1,0,0,0,0,0,0,0.5316887230957461,2.0314289420928873,1.0310378965063391,1,0,0,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA
NI,2,2020-03-06,721.5996271144649,1426.169549931432,1033.9020338537398,1,721.5996271144649,1426.169549931432,1033.9020338537398,0,0,0,0.5038815590636523,2.063328004135391,1.0030630139292136,3,3.810527681862852e-4,7.531127158111272e-4,5.459692843923225e-4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA
NI,3,2020-03-07,4.508195515246954,7.863907447056944,6.028695996152498,4,4.508195515246954,7.863907447056944,6.028695996152498,0,0,0,0.5528243336390647,2.1440167920462487,1.1145639606319457,NA,3.834584391441409e-4,7.569934346403018e-4,5.490250315336453e-4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA
NI,4,2020-03-08,38.993967098040834,68.04312797220453,52.15991586036725,2,38.993967098040834,68.04312797220453,52.15991586036725,0,0,0,0.6863349745566599,2.6097250678936375,1.3207738539877112,NA,4.0758681303233453e-4,7.903780802854087e-4,5.768275021509894e-4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA
NI,5,2020-03-09,115.99179605378049,202.7354644396022,155.35313103265347,2,115.99179605378049,202.7354644396022,155.35313103265347,0,0,0,0.8918754085853953,3.3051255782526483,1.7500170407417985,1,4.744441620182782e-4,8.877334998049157e-4,6.608392210738501e-4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA
NI,6,2020-03-10,224.41671226175168,393.45499747471894,300.69469558547297,4,224.41671226175168,393.45499747471894,300.69469558547297,0,0,0,1.115269951822631,4.687807003566181,2.2951472904900094,4,6.102004935314876e-4,0.0010806461256806816,8.192448893847293e-4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA
NI,7,2020-03-11,331.3822177587775,586.3659427735828,444.60803216574493,10,331.3822177587775,586.3659427735828,444.60803216574493,0,0,0,1.3731131342282856,5.549601703284582,2.847970338559587,4,8.037572663414038e-4,0.0013576429214246454,0.0010582586530018534,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA
NI,8,2020-03-12,392.96970442835516,709.8497381714828,536.2461939764444,3,392.96970442835516,709.8497381714828,536.2461939764444,0,0,0,1.7444396574571468,6.687485223403825,3.3724972042194183,3,0.001030590555239369,0.001705602004258086,0.001341416391882122,NA,0.8580264125080114,1.2952332456833944,1.0548574349220283,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA
NI,9,2020-03-13,499.1727303057124,765.2200355717904,616.4233614069083,10,499.1727303057124,765.2200355717904,616.4233614069083,0,0,0,1.9449864787099598,7.321796485791675,3.9543851921674236,2,0.0013229383101126286,0.002067981001486524,0.0016723777674048645,NA,0.8580264125080114,1.2952332456833944,1.0548574349220283,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA
NI,10,2020-03-14,508.5931543113684,740.1111594578576,614.199356478556,9,508.5931543113684,740.1111594578576,614.199356478556,0,0,0,2.3590233283472184,9.29471645564057,4.6138530854249336,2,0.0016129347557915425,0.002425769399630062,0.0019952777688765355,NA,0.8580264125080114,1.2952332456833944,1.0548574349220283,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA
