"area","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","plotted_date"
"ROI",1.04,1.03,1.15,1.04,1.02,1,2020-02-27
"ROI",1.03,1.05,1,1.04,1.01,1,2020-02-28
"ROI",0.88,0.97,0.72,0.91,0.97,1.03,2020-02-29
"ROI",1.03,1.03,0.95,1.02,1.02,1,2020-03-01
"ROI",1.04,1.04,1.12,1.01,1.01,1,2020-03-02
"ROI",1.08,1.05,1.29,1.02,1.03,0.99,2020-03-03
"ROI",1.05,1.04,1.25,1.01,1.01,1,2020-03-04
"ROI",1.04,1.04,1.15,1,1.02,1,2020-03-05
"ROI",1.03,1.07,1.1,1,1.01,1,2020-03-06
"ROI",0.97,1.03,0.99,0.96,1,1.01,2020-03-07
"ROI",1,1.02,1,0.96,1,1,2020-03-08
"ROI",0.97,1.03,0.87,0.94,1,1.02,2020-03-09
"ROI",1.03,1.11,1.15,0.97,1.01,1.01,2020-03-10
"ROI",0.97,1.11,0.97,0.91,0.99,1.02,2020-03-11
"ROI",0.97,1.33,0.87,0.86,0.97,1.03,2020-03-12
"ROI",0.81,1.1,1.01,0.7,0.74,1.12,2020-03-13
"ROI",0.68,1.02,0.85,0.66,0.88,1.09,2020-03-14
"ROI",0.64,1.07,1.2,0.65,0.84,1.09,2020-03-15
"ROI",0.74,1.15,1.21,0.55,0.51,1.18,2020-03-16
"ROI",0.41,0.76,1.67,0.38,0.2,1.29,2020-03-17
"ROI",0.54,0.91,1.14,0.48,0.54,1.2,2020-03-18
"ROI",0.52,0.9,1.29,0.46,0.52,1.22,2020-03-19
"ROI",0.47,0.91,1.16,0.43,0.52,1.23,2020-03-20
"ROI",0.41,0.97,0.88,0.41,0.61,1.17,2020-03-21
"ROI",0.41,0.89,1.39,0.47,0.61,1.13,2020-03-22
"ROI",0.51,0.82,1.07,0.39,0.49,1.21,2020-03-23
"ROI",0.49,0.91,1.1,0.38,0.47,1.22,2020-03-24
"ROI",0.4,0.82,1.13,0.37,0.45,1.24,2020-03-25
"ROI",0.4,0.84,1.15,0.35,0.44,1.25,2020-03-26
"ROI",0.37,0.87,1,0.34,0.44,1.26,2020-03-27
"ROI",0.2,0.78,0.41,0.25,0.47,1.21,2020-03-28
"ROI",0.17,0.63,0.41,0.22,0.48,1.19,2020-03-29
"ROI",0.27,0.71,0.63,0.24,0.32,1.29,2020-03-30
"ROI",0.27,0.75,0.78,0.26,0.3,1.3,2020-03-31
"ROI",0.25,0.74,0.69,0.25,0.3,1.31,2020-04-01
"ROI",0.26,0.77,0.62,0.24,0.3,1.33,2020-04-02
"ROI",0.26,0.78,0.65,0.24,0.31,1.34,2020-04-03
"ROI",0.22,0.77,0.54,0.26,0.44,1.22,2020-04-04
"ROI",0.19,0.67,0.41,0.21,0.48,1.2,2020-04-05
"ROI",0.32,0.76,0.91,0.26,0.31,1.29,2020-04-06
"ROI",0.34,0.85,1.06,0.29,0.31,1.28,2020-04-07
"ROI",0.31,0.83,0.9,0.28,0.31,1.29,2020-04-08
"ROI",0.32,0.88,0.76,0.27,0.31,1.31,2020-04-09
"ROI",0.27,0.82,0.74,0.24,0.26,1.34,2020-04-10
"ROI",0.24,0.88,0.69,0.3,0.46,1.21,2020-04-11
"ROI",0.1,0.42,0.31,0.18,0.44,1.21,2020-04-12
"ROI",0.23,0.62,0.85,0.2,0.14,1.34,2020-04-13
"ROI",0.32,0.8,0.99,0.29,0.32,1.28,2020-04-14
"ROI",0.31,0.78,0.95,0.29,0.32,1.29,2020-04-15
"ROI",0.16,0.83,0.93,0.34,0.33,1.31,2020-04-16
"ROI",0.15,0.81,0.74,0.32,0.34,1.33,2020-04-17
"ROI",0.13,0.79,0.54,0.35,0.49,1.22,2020-04-18
"ROI",0.12,0.69,0.64,0.34,0.53,1.19,2020-04-19
"ROI",0.17,0.78,1.06,0.35,0.35,1.28,2020-04-20
"ROI",0.17,0.83,1.1,0.37,0.35,1.28,2020-04-21
"ROI",0.17,0.82,1,0.37,0.35,1.28,2020-04-22
"ROI",0.18,0.85,1.01,0.36,0.35,1.28,2020-04-23
"ROI",0.17,0.85,0.92,0.36,0.35,1.31,2020-04-24
"ROI",0.15,0.84,0.81,0.42,0.52,1.19,2020-04-25
"ROI",0.13,0.72,0.57,0.33,0.55,1.18,2020-04-26
"ROI",0.19,0.81,1.13,0.37,0.36,1.27,2020-04-27
"ROI",0.19,0.84,1.09,0.38,0.36,1.24,2020-04-28
"ROI",0.17,0.8,0.72,0.33,0.35,1.29,2020-04-29
"ROI",0.27,0.85,0.73,0.33,0.35,1.28,2020-04-30
"ROI",0.26,0.84,0.78,0.34,0.36,1.31,2020-05-01
"ROI",0.23,0.85,0.86,0.44,0.55,1.19,2020-05-02
"ROI",0.23,0.79,0.89,0.41,0.59,1.17,2020-05-03
"ROI",0.26,0.75,1.4,0.31,0.17,1.32,2020-05-04
"ROI",0.32,0.89,1.18,0.4,0.38,1.26,2020-05-05
"ROI",0.31,0.88,1.21,0.41,0.38,1.27,2020-05-06
"ROI",0.3,0.86,1.06,0.37,0.38,1.28,2020-05-07
"ROI",0.3,0.89,1.21,0.39,0.39,1.29,2020-05-08
"ROI",0.26,0.91,1.22,0.48,0.58,1.17,2020-05-09
"ROI",0.23,0.76,0.6,0.32,0.61,1.17,2020-05-10
"ROI",0.33,0.86,1.22,0.39,0.39,1.25,2020-05-11
"ROI",0.34,0.89,1.29,0.41,0.4,1.25,2020-05-12
"ROI",0.32,0.87,0.92,0.42,0.4,1.26,2020-05-13
"ROI",0.32,0.9,0.47,0.45,0.4,1.25,2020-05-14
"ROI",0.3,0.88,0.37,0.41,0.4,1.28,2020-05-15
"ROI",0.26,0.89,0.36,0.51,0.6,1.17,2020-05-16
"ROI",0.25,0.83,0.31,0.46,0.66,1.16,2020-05-17
"ROI",0.4,0.88,0.46,0.49,0.44,1.23,2020-05-18
"ROI",0.41,0.94,0.64,0.57,0.45,1.21,2020-05-19
"ROI",0.41,0.96,0.83,0.57,0.45,1.22,2020-05-20
"ROI",0.4,0.94,0.6,0.5,0.45,1.24,2020-05-21
"ROI",0.36,0.92,0.4,0.44,0.46,1.27,2020-05-22
"ROI",0.34,0.95,0.39,0.53,0.66,1.16,2020-05-23
"ROI",0.34,0.9,0.69,0.64,0.74,1.12,2020-05-24
"ROI",0.45,0.93,0.72,0.55,0.46,1.21,2020-05-25
"ROI",0.45,0.97,0.85,0.59,0.48,1.2,2020-05-26
"ROI",0.43,0.98,0.86,0.6,0.48,1.21,2020-05-27
"ROI",0.44,1.03,0.88,0.59,0.48,1.21,2020-05-28
"ROI",0.42,1.03,0.76,0.58,0.48,1.22,2020-05-29
"ROI",0.37,1.04,0.76,0.7,0.76,1.11,2020-05-30
"ROI",0.36,0.98,0.78,0.68,0.82,1.1,2020-05-31
"ROI",0.42,0.94,1.3,0.56,0.22,1.25,2020-06-01
"ROI",0.48,1.05,1,0.64,0.49,1.18,2020-06-02
"ROI",0.44,0.97,0.59,0.55,0.49,1.21,2020-06-03
"ROI",0.44,0.98,0.55,0.53,0.5,1.22,2020-06-04
"ROI",0.44,0.95,0.59,0.47,0.51,1.23,2020-06-05
"ROI",0.4,0.95,0.44,0.49,0.75,1.15,2020-06-06
"ROI",0.4,0.9,0.7,0.56,0.83,1.11,2020-06-07
"ROI",0.6,0.97,1.08,0.6,0.52,1.17,2020-06-08
"ROI",0.57,0.98,0.86,0.56,0.52,1.18,2020-06-09
"ROI",0.53,0.95,0.71,0.54,0.51,1.19,2020-06-10
"ROI",0.52,0.97,0.76,0.5,0.51,1.21,2020-06-11
"ROI",0.5,0.99,0.76,0.52,0.52,1.21,2020-06-12
"ROI",0.49,1.03,0.94,0.67,0.82,1.1,2020-06-13
"ROI",0.48,0.95,1.05,0.68,0.87,1.08,2020-06-14
"ROI",0.63,0.99,1.48,0.65,0.54,1.16,2020-06-15
"ROI",0.62,1.02,1.23,0.64,0.54,1.17,2020-06-16
"ROI",0.59,1.01,0.99,0.63,0.53,1.18,2020-06-17
"ROI",0.59,0.99,0.91,0.56,0.53,1.19,2020-06-18
"ROI",0.57,1.02,0.89,0.57,0.54,1.18,2020-06-19
"ROI",0.54,1.08,0.94,0.71,0.83,1.09,2020-06-20
"ROI",0.52,0.99,1.01,0.7,0.92,1.08,2020-06-21
"ROI",0.62,0.95,0.93,0.56,0.52,1.18,2020-06-22
"ROI",0.63,1,1.02,0.59,0.53,1.17,2020-06-23
"ROI",0.62,1,1.43,0.66,0.54,1.16,2020-06-24
"ROI",0.62,1.04,1.54,0.67,0.54,1.16,2020-06-25
"ROI",0.58,1.03,1.04,0.61,0.55,1.17,2020-06-26
"ROI",0.53,1.03,0.71,0.66,0.82,1.1,2020-06-27
"ROI",0.52,0.93,0.7,0.61,0.88,1.09,2020-06-28
"ROI",0.74,0.99,1.03,0.62,0.56,1.14,2020-06-29
"ROI",0.76,1,1.46,0.64,0.57,1.14,2020-06-30
"ROI",0.72,0.98,1.09,0.62,0.56,1.15,2020-07-01
"ROI",0.74,1.01,1.45,0.66,0.56,1.14,2020-07-02
"ROI",0.68,1.01,0.99,0.61,0.56,1.15,2020-07-03
"ROI",0.65,1.02,1.13,0.76,0.89,1.05,2020-07-04
"ROI",0.64,0.93,1.06,0.71,0.92,1.05,2020-07-05
"ROI",0.8,1.01,1.61,0.66,0.56,1.12,2020-07-06
"ROI",0.77,1.01,1.03,0.61,0.56,1.13,2020-07-07
"ROI",0.73,0.97,1,0.62,0.57,1.14,2020-07-08
"ROI",0.76,1.02,1.42,0.67,0.58,1.13,2020-07-09
"ROI",0.72,1.02,1.5,0.69,0.58,1.12,2020-07-10
"ROI",0.67,1.05,1.65,0.87,0.92,1.03,2020-07-11
"ROI",0.68,0.98,1.44,0.81,0.96,1.03,2020-07-12
"ROI",0.81,1.02,1.56,0.67,0.57,1.12,2020-07-13
"ROI",0.78,1,1.31,0.64,0.57,1.13,2020-07-14
"ROI",0.8,1.01,1.72,0.65,0.58,1.12,2020-07-15
"ROI",0.79,1.01,1.8,0.64,0.58,1.13,2020-07-16
"ROI",0.74,1.01,1.37,0.62,0.59,1.13,2020-07-17
"ROI",0.71,1.04,1.63,0.78,0.93,1.03,2020-07-18
"ROI",0.72,1,1.95,0.82,0.99,1.01,2020-07-19
"ROI",0.85,1.03,2.15,0.67,0.56,1.1,2020-07-20
"ROI",0.84,1.02,2.3,0.69,0.57,1.1,2020-07-21
"ROI",0.8,0.99,1.6,0.64,0.58,1.12,2020-07-22
"ROI",0.8,1.01,1.57,0.63,0.58,1.13,2020-07-23
"ROI",0.74,0.99,1.31,0.62,0.59,1.13,2020-07-24
"ROI",0.72,1.01,1.36,0.76,0.93,1.04,2020-07-25
"ROI",0.74,0.95,1.5,0.77,0.99,1.03,2020-07-26
"ROI",0.87,1.01,1.75,0.63,0.54,1.12,2020-07-27
"ROI",0.87,1.02,2.08,0.68,0.57,1.11,2020-07-28
"ROI",0.84,1,1.49,0.63,0.55,1.13,2020-07-29
"ROI",0.85,1.02,1.74,0.64,0.56,1.12,2020-07-30
"ROI",0.79,1,1.67,0.65,0.56,1.11,2020-07-31
"ROI",0.73,1,1.64,0.79,0.91,1.02,2020-08-01
"ROI",0.79,0.95,1.85,0.81,0.99,1.01,2020-08-02
"ROI",0.89,0.93,2.93,0.61,0.26,1.15,2020-08-03
"ROI",0.9,1.05,1.89,0.66,0.54,1.11,2020-08-04
"ROI",0.85,0.99,1.78,0.64,0.55,1.12,2020-08-05
"ROI",0.86,1,1.98,0.66,0.55,1.12,2020-08-06
"ROI",0.79,0.98,1.88,0.65,0.57,1.11,2020-08-07
"ROI",0.69,1,2.13,0.82,0.94,1.01,2020-08-08
"ROI",0.71,0.95,1.92,0.78,0.99,1,2020-08-09
"ROI",0.85,0.98,1.94,0.61,0.54,1.11,2020-08-10
"ROI",0.85,0.99,2.41,0.67,0.56,1.1,2020-08-11
"ROI",0.83,0.99,2.4,0.66,0.56,1.1,2020-08-12
"ROI",0.83,0.99,1.89,0.61,0.56,1.12,2020-08-13
"ROI",0.78,0.99,1.83,0.62,0.58,1.11,2020-08-14
"ROI",0.72,1,1.81,0.77,0.94,1.02,2020-08-15
"ROI",0.73,0.92,1.41,0.69,0.98,1.03,2020-08-16
"ROI",0.84,0.95,1.35,0.56,0.55,1.12,2020-08-17
"ROI",0.87,0.99,2.12,0.64,0.58,1.1,2020-08-18
"ROI",0.78,0.95,1.26,0.56,0.57,1.13,2020-08-19
"ROI",0.78,0.94,1.25,0.54,0.56,1.13,2020-08-20
"ROI",0.77,0.97,1.45,0.59,0.59,1.12,2020-08-21
"ROI",0.73,0.98,1.3,0.69,0.95,1.04,2020-08-22
"ROI",0.75,0.93,1.5,0.71,1.01,1.03,2020-08-23
"ROI",0.88,0.98,1.82,0.6,0.57,1.11,2020-08-24
"ROI",0.8,0.94,1.11,0.54,0.57,1.13,2020-08-25
"ROI",0.87,1.02,1.87,0.65,0.59,1.11,2020-08-26
"ROI",0.83,0.99,1.17,0.58,0.59,1.13,2020-08-27
"ROI",0.8,1,1.3,0.6,0.61,1.11,2020-08-28
"ROI",0.77,1.01,1.54,0.75,0.97,1.03,2020-08-29
"ROI",0.79,0.98,1.72,0.76,1.01,1.02,2020-08-30
"ROI",0.91,1.03,1.71,0.64,0.59,1.1,2020-08-31
"ROI",0.88,1.04,1.67,0.66,0.6,1.1,2020-09-01
"ROI",0.79,0.97,1.22,0.6,0.6,1.12,2020-09-02
"ROI",0.82,1,1.44,0.62,0.61,1.1,2020-09-03
"ROI",0.79,0.99,1.35,0.63,0.63,1.09,2020-09-04
"ROI",0.76,0.99,1.41,0.73,0.95,1.03,2020-09-05
"ROI",0.78,0.97,1.53,0.73,0.99,1.02,2020-09-06
"ROI",0.85,1,1.37,0.61,0.6,1.09,2020-09-07
"ROI",0.82,0.99,1.61,0.64,0.61,1.09,2020-09-08
"ROI",0.81,0.98,1.61,0.64,0.63,1.09,2020-09-09
"ROI",0.8,0.99,1.39,0.62,0.63,1.08,2020-09-10
"ROI",0.79,1,1.26,0.63,0.64,1.07,2020-09-11
"ROI",0.77,1,1.52,0.75,0.95,1,2020-09-12
"ROI",0.77,0.98,1.8,0.77,0.98,1,2020-09-13
"ROI",0.83,0.99,1.7,0.64,0.66,1.07,2020-09-14
"ROI",0.84,1.01,1.95,0.68,0.67,1.07,2020-09-15
"ROI",0.8,0.98,1.72,0.65,0.67,1.08,2020-09-16
"ROI",0.81,0.99,1.64,0.63,0.67,1.08,2020-09-17
"ROI",0.8,0.99,1.57,0.65,0.68,1.07,2020-09-18
"ROI",0.71,1,1.53,0.67,0.93,1.03,2020-09-19
"ROI",0.72,0.98,1.69,0.68,0.96,1.02,2020-09-20
"ROI",0.81,1,1.79,0.63,0.66,1.08,2020-09-21
"ROI",0.76,0.99,1.37,0.59,0.66,1.1,2020-09-22
"ROI",0.77,1.01,1.43,0.6,0.68,1.1,2020-09-23
"ROI",0.74,1,1.01,0.55,0.67,1.12,2020-09-24
"ROI",0.76,1.04,1.23,0.59,0.69,1.1,2020-09-25
"ROI",0.74,1.04,1.53,0.7,0.95,1.04,2020-09-26
"ROI",0.73,0.98,1.53,0.67,0.97,1.04,2020-09-27
"ROI",0.79,1.01,1.37,0.59,0.66,1.1,2020-09-28
"ROI",0.78,1.02,1.49,0.61,0.69,1.09,2020-09-29
"ROI",0.72,0.99,1.01,0.56,0.68,1.11,2020-09-30
"ROI",0.74,1.02,1.1,0.57,0.69,1.1,2020-10-01
