date,area,cases,hosp_admissions,retail_google,wk_periods,freq_alpha,serop,pol_dist_restric,N
05/03/2020,NI,2,1,1.040909091,0,NA,NA,NA,1893700
06/03/2020,NI,2,3,1.022727273,0,NA,NA,NA,1893700
07/03/2020,NI,5,NA,0.997272727,0,NA,NA,NA,1893700
08/03/2020,NI,3,NA,1.046363636,0,NA,NA,NA,1893700
09/03/2020,NI,3,1,0.988181818,0,NA,NA,NA,1893700
10/03/2020,NI,5,4,1.023636364,0,NA,NA,NA,1893700
11/03/2020,NI,11,4,1,0,NA,NA,NA,1893700
12/03/2020,NI,4,3,1.009090909,1,NA,NA,NA,1893700
13/03/2020,NI,11,2,0.980909091,1,NA,NA,NA,1893700
14/03/2020,NI,10,2,0.877272727,1,NA,NA,NA,1893700
15/03/2020,NI,2,1,0.892727273,1,NA,NA,NA,1893700
16/03/2020,NI,8,4,1.033636364,1,NA,NA,NA,1893700
17/03/2020,NI,9,5,0.834545455,1,NA,NA,NA,1893700
18/03/2020,NI,13,8,0.799090909,1,NA,NA,NA,1893700
19/03/2020,NI,14,5,0.801818182,2,NA,NA,NA,1893700
20/03/2020,NI,17,12,0.736363636,2,NA,NA,NA,1893700
21/03/2020,NI,20,15,0.564545455,2,NA,NA,NA,1893700
22/03/2020,NI,18,10,0.475454545,2,NA,NA,NA,1893700
23/03/2020,NI,41,18,0.603636364,2,NA,NA,NA,1893700
24/03/2020,NI,41,15,0.360909091,2,NA,NA,NA,1893700
25/03/2020,NI,56,29,0.303636364,2,NA,NA,NA,1893700
26/03/2020,NI,76,28,0.292727273,3,NA,NA,NA,1893700
27/03/2020,NI,67,30,0.273636364,3,NA,NA,NA,1893700
28/03/2020,NI,76,37,0.219090909,3,NA,NA,NA,1893700
29/03/2020,NI,62,34,0.168181818,3,NA,NA,NA,1893700
30/03/2020,NI,84,35,0.291818182,3,NA,NA,NA,1893700
31/03/2020,NI,111,43,0.293636364,3,NA,NA,NA,1893700
01/04/2020,NI,102,45,0.284545455,3,NA,NA,NA,1893700
02/04/2020,NI,105,44,0.278181818,4,NA,NA,NA,1893700
03/04/2020,NI,102,44,0.277272727,4,NA,NA,NA,1893700
04/04/2020,NI,86,41,0.221818182,4,NA,NA,NA,1893700
05/04/2020,NI,60,29,0.185454545,4,NA,NA,NA,1893700
06/04/2020,NI,105,42,0.329090909,4,NA,NA,NA,1893700
07/04/2020,NI,129,39,0.323636364,4,NA,NA,NA,1893700
08/04/2020,NI,102,32,0.322727273,4,NA,NA,NA,1893700
09/04/2020,NI,99,33,0.353636364,5,NA,NA,NA,1893700
10/04/2020,NI,94,20,0.303636364,5,NA,NA,NA,1893700
11/04/2020,NI,67,22,0.250909091,5,NA,NA,NA,1893700
12/04/2020,NI,73,22,0.08,5,NA,NA,NA,1893700
