plotted_date,mask_perc,mask_perc_ni,hands,queue,sanitiser,apart
05/03/2020,0.01,0.01,0.9,,,
16/03/2020,,,0.93,,0.63,
23/03/2020,,,0.95,0.84,0.7,0.54
02/04/2020,,,0.95,0.87,0.76,0.71
09/04/2020,,,0.94,0.88,0.81,0.65
13/04/2020,,,0.94,0.87,0.81,0.59
16/04/2020,,,0.94,0.9,0.82,0.63
23/04/2020,,,0.95,0.89,0.82,0.64
27/04/2020,,,0.94,0.9,0.85,0.65
30/04/2020,,,0.93,0.88,0.83,0.64
04/05/2020,0.16,,0.93,0.9,0.83,0.66
07/05/2020,0.18,,0.95,0.91,0.82,0.67
11/05/2020,0.18,,0.95,0.9,0.83,0.68
14/05/2020,0.2,,0.94,0.9,0.83,0.67
18/05/2020,0.22,,0.94,0.9,0.86,0.67
21/05/2020,0.27,,0.94,0.91,0.85,0.66
28/05/2020,0.28,,0.92,0.91,0.87,0.69
08/06/2020,0.28,0.28,0.92,0.89,0.88,0.65
15/06/2020,0.34,0.28,0.93,0.89,0.88,0.64
22/06/2020,0.41,0.28,0.92,0.91,0.89,0.68
29/06/2020,0.45,0.28,0.94,0.92,0.89,0.67
13/07/2020,0.55,0.51,0.93,0.94,0.91,0.71
20/07/2020,0.7,0.51,0.94,0.93,0.92,0.72
27/07/2020,0.86,0.51,0.94,0.93,0.92,0.72
03/08/2020,0.87,0.88,0.95,0.93,0.93,0.72
10/08/2020,0.89,0.88,0.94,0.93,0.92,0.71
17/08/2020,0.9,0.88,0.93,0.94,0.92,0.74
24/08/2020,0.91,0.88,0.95,0.95,0.94,0.74
31/08/2020,0.9,0.88,0.95,0.94,0.94,0.75
07/09/2020,0.89,0.94,0.94,0.95,0.94,0.75
14/09/2020,0.91,0.94,0.95,0.93,0.93,0.76
21/09/2020,0.9,0.94,0.95,0.95,0.94,0.75
28/09/2020,0.91,0.94,0.95,0.95,0.95,0.77
05/10/2020,0.91,0.94,0.95,0.95,0.94,0.75
12/10/2020,0.9,0.94,0.95,0.94,0.94,0.78
19/10/2020,0.91,0.94,0.95,0.94,0.95,0.78
26/10/2020,0.91,0.94,0.94,0.94,0.94,0.75
02/11/2020,0.91,0.94,0.95,0.96,0.94,0.76
09/11/2020,0.89,0.94,0.96,0.94,0.93,
16/11/2020,0.89,0.94,0.95,0.93,0.94,0.74
23/11/2020,0.9,0.94,0.93,0.93,0.92,0.75
30/11/2020,0.9,0.94,0.94,0.94,0.92,0.74
07/12/2020,0.91,0.95,0.93,0.94,0.94,0.76
14/12/2020,0.92,0.95,0.94,0.93,0.91,0.73
21/12/2020,0.93,0.95,0.93,0.92,0.92,0.74
04/01/2021,0.93,,,,,
11/01/2021,0.94,,,,,
18/01/2021,0.94,,,,,
25/01/2021,0.93,,,,,
01/02/2021,0.94,,,,,
15/02/2021,0.93,,,,,
22/02/2021,0.93,,,,,
01/03/2021,0.93,,,,,
